Label,First release,Last release,Releases
Ambassador Records (11),1989,1992,17
Amber Music,1991,1997,16
Amber Records (2),2004,2004,13
Amberley,1997,1999,14
Amberola,1998,1998,15
Ambience Records (4),2001,2004,15
Ambient,1991,1992,12
Ambient Grooves,2003,2005,18
Ambient Records,1991,1992,19
Ambiguous City! Records,1994,1999,22
Ambush (2),1981,1992,12
Amc,1993,1997,12
Amduscias Music,1997,2001,14
Amelos,2002,2002,19
Amen - THX 1138,1984,1985,12
Amendo,2002,2002,15
America Records (4),1986,1986,17
America Smash,1986,1986,16
America's Most Wanted,2003,2003,11
American Audio Prose Library,1983,1983,13
American Blue Collar Records,1992,1998,15
American Eagle Outfitters,1996,2002,19
American Empire Records,1994,2002,12
American Entertainment Network,1995,1997,18
American Fly,1994,1995,16
American Gothic,1991,1993,12
American Harvest,1994,1994,16
American Melody Records,1985,1988,17
American Originals Records,1997,1998,11
American Phonograph,1983,1985,20
American Pop Project,1997,1999,19
American Punk Records,1995,1998,19
American Recording Productions,1993,1994,14
American Sound Records,1991,1991,15
American Sound Records (2),1993,1999,20
American Visuals,1994,1995,11
Americatone International,1988,1995,11
Americoma Records,1998,2000,11
Amfibius Recordings,2004,2004,18
Ami (4),1980,1980,14
Amidisque,1981,1983,11
Amigo (2),1986,1988,15
Amigo Records (12),1994,2000,15
Amigo É Pra Essas Coisas,1982,1982,11
Amigos M.D.C.,1996,2001,12
Amity Records,1987,1990,19
Ammo Records,2001,2005,13
Ammunition Communications,1985,1986,17
Amnezia Production,2003,2004,15
Amo Records (2),1987,1989,14
Amoc,1998,2003,14
Amoeba Records (2),1987,1991,18
Amoebic,1997,1999,12
Amon Düül2 Records,1997,1997,11
"Among Friends Records, Inc.",1997,2004,13
Amontillado Music,2003,2005,24
Amor Y Lucha,2001,2003,18
Amori,1993,2001,15
Amos Recordings,1996,1996,13
Amosaya Records,1993,1997,15
Ampcast.com,2001,2001,20
Ampel Records,1985,2004,11
Amplexus,1994,1997,17
Amplitude,1980,1990,19
Amsel Records,1995,2003,25
Amurec,1991,1994,12
Amutham,2000,2005,17
An Alien Recordings,1993,1994,19
An Naer Produksion,1996,2003,16
AnAnAnA,1993,2000,22
Anaconda,1990,1998,19
Anaconda (3),1999,2004,21
Anaconda Records (2),1988,1988,22
Anaconda Records (3),1998,1999,15
Anaemic Waves Factory,2000,2001,19
Anagram Records (2),1995,2002,12
Analog Baroque,1998,2001,15
Analogo,1997,1998,14
Anand (2),1997,2001,11
Anarchy Centre,1992,1995,18
Ancient & Modern Sound,1985,1995,13
Ancient Echoes Music,1991,1991,14
Ancient Mystic,1998,2001,24
Anckarström,1991,1994,15
And The End Record,1999,2001,16
Andania,1989,1989,15
Anditone,1990,1990,11
Andmoresound Records,1997,2001,16
Andok B.T.,1992,1992,12
Andrew Records,1994,1994,23
Angel City Records,1988,1989,15
Angel Records (5),1982,2001,22
Angel Reef Audio Recordings,2003,2004,14
AngelProductions,2000,2003,11
Angeles Diablo Corporation,1996,1998,22
